               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026086,            0.017243,           0.0013256,             0.71191,             0.60451,             0.61259,             0.42706,            0.035326,            0.014791,            0.010999,            0.006535,            0.006535,            0.006535
                  37,            0.026272,            0.016409,           0.0010277,             0.69847,             0.60643,             0.60945,             0.43253,            0.037915,            0.015334,            0.010196,            0.006436,            0.006436,            0.006436
                  38,            0.025482,            0.016546,           0.0011188,             0.69914,             0.61135,             0.60112,             0.42775,            0.039248,            0.015527,            0.010418,            0.006337,            0.006337,            0.006337
                  39,            0.025067,            0.015618,           0.0010954,             0.69734,             0.65294,             0.62007,             0.42976,            0.036666,             0.01566,            0.010355,            0.006238,            0.006238,            0.006238
                  40,            0.024684,             0.01624,           0.0011046,             0.75609,             0.59247,             0.60022,             0.41588,            0.037419,            0.015322,           0.0098473,            0.006139,            0.006139,            0.006139
                  41,            0.024575,            0.015231,            0.001129,             0.66439,              0.6431,             0.60699,             0.46958,            0.034894,            0.014711,            0.010117,             0.00604,             0.00604,             0.00604
                  42,            0.024146,            0.016709,           0.0010372,             0.72602,             0.59548,             0.59808,             0.44259,            0.036115,            0.015421,           0.0098319,            0.005941,            0.005941,            0.005941
                  43,            0.024219,            0.016167,          0.00089017,             0.76864,             0.60187,             0.59998,             0.46864,            0.036367,            0.014659,            0.010343,            0.005842,            0.005842,            0.005842
                  44,            0.023424,            0.015552,          0.00097888,             0.73383,             0.58152,             0.60065,             0.42731,            0.035656,             0.01567,            0.011988,            0.005743,            0.005743,            0.005743
                  45,            0.023004,            0.015579,           0.0010239,             0.76234,             0.57659,             0.59059,              0.4383,            0.034584,            0.015572,            0.011599,            0.005644,            0.005644,            0.005644
                  46,            0.023236,            0.015214,           0.0010483,             0.78279,             0.58486,             0.60623,             0.45104,            0.034853,            0.015628,            0.012489,            0.005545,            0.005545,            0.005545
                  47,            0.022968,            0.015158,             0.00104,             0.79764,             0.61627,             0.62971,             0.45426,            0.035471,            0.014956,            0.014133,            0.005446,            0.005446,            0.005446
                  48,            0.021999,            0.014672,           0.0011283,             0.72827,             0.60845,             0.59802,              0.4613,            0.034089,            0.014746,            0.011782,            0.005347,            0.005347,            0.005347
                  49,            0.022215,            0.015381,          0.00090412,             0.80437,             0.59739,             0.61499,             0.43496,            0.036704,            0.016664,            0.012773,            0.005248,            0.005248,            0.005248
                  50,            0.021742,            0.014753,          0.00077664,             0.71455,              0.6089,             0.60434,             0.44854,            0.035297,            0.016592,            0.011389,            0.005149,            0.005149,            0.005149
                  51,            0.021623,            0.014442,           0.0010288,             0.71561,             0.65103,             0.62246,             0.48129,            0.034367,            0.014857,            0.012915,             0.00505,             0.00505,             0.00505
                  52,            0.021632,            0.014939,          0.00093075,             0.75273,             0.59739,             0.60895,             0.44782,             0.03565,            0.015581,            0.015273,            0.004951,            0.004951,            0.004951
                  53,             0.02096,            0.014212,          0.00080907,             0.69151,             0.58453,             0.57367,             0.43113,            0.035448,            0.015751,            0.013648,            0.004852,            0.004852,            0.004852
